sample_id,concentration_ppb,source_file,Ip_corr,Ep,Area_peak,Peak_to_bg,Slope_rise,Slope_fall,Symmetry,dIdE_max,d2IdE2_max,Mean,Var,Skew,Kurtosis,Energy
5ppb_S17,5,Ac TW 5ppb.xlsx,2.8386,-0.0833,0.45713621,2.463549261,6.594070099,-50.16666667,-0.131443258,25.69607843,552.6720492,1.842792,0.22470275,-0.122416813,3.261039181,90.51462764
5ppb_S18,5,Ac TW 5ppb.xlsx,2.993,-0.0833,0.58692767,1.84734841,5.626769582,-52.83333333,-0.106500371,36.28431373,553.633218,2.359744,0.209512232,-1.223272119,4.00049346,144.4475994
5ppb_S19,5,Ac TW 5ppb.xlsx,2.9364,-0.0833,0.53377729,2.185146599,7.096726647,-51.67647059,-0.137329941,29.98039216,592.5605536,2.147408,0.25428451,-0.80451882,2.904387138,121.6411407
5ppb_S20,5,Ac TW 5ppb.xlsx,3.0218,-0.0833,0.53382932,2.057045609,6.649724744,-52.5,-0.126661424,31.60784314,580.0653595,2.15136,0.212793277,-0.502292702,3.079972288,121.0285782
5ppb_S21,5,Ac TW 5ppb.xlsx,2.5732,-0.0833,0.44330701,2.541683129,6.341971777,-44.46078431,-0.142641923,23.74509804,490.1960784,1.78312,0.215506698,-0.838676016,3.238618553,84.8755908
5ppb_S22,5,Ac TW 5ppb.xlsx,3.0216,-0.0833,0.5302121,2.358193113,7.70733092,-53.37254902,-0.144406274,29.35294118,549.3079585,2.133344,0.290620558,-0.697967401,2.776793503,121.0444295
5ppb_S23,5,Ac TW 5ppb.xlsx,3.1178,-0.0833,0.534639,2.418924371,7.825709748,-54.37254902,-0.143927586,28.56862745,551.7108804,2.152368,0.29811133,-0.624247424,2.898231642,123.2699834
5ppb_S24,5,Ac TW 5ppb.xlsx,2.7588,-0.0833,0.55269754,1.682400293,4.849297152,-48.70588235,-0.099562864,35.01960784,628.6043829,2.224328,0.150864764,-1.043874662,3.574390026,127.4624954
75ppb_S1,75,Ac TW 75ppb.xlsx,15.998,-0.1956,2.3004253,3.337477886,127.5007541,-108.9897768,-1.16984141,162.9411765,2628.796617,9.120448,19.36065969,0.167202518,1.655219833,2563.580785
75ppb_S2,75,Ac TW 75ppb.xlsx,15.511,-0.1956,2.18225602,3.339548383,126.4221171,-106.4968001,-1.1870978,166.2745098,2609.573241,8.647816,18.83121113,0.194922815,1.642967438,2340.398317
75ppb_S3,75,Ac TW 75ppb.xlsx,15.063,-0.2058,2.19851004,2.71258779,121.7928699,-98.18709298,-1.240416293,143.1372549,2301.999231,8.72132,16.81536328,0.121034337,1.656281953,2321.919646
7ppb_S1,7,Ac TW 7ppb.xlsx,3.1838,-0.0833,0.54989852,2.577892214,8.99402707,-56.51960784,-0.159131095,27.07843137,570.4536717,2.212248,0.383396999,-0.620623208,2.381433805,131.9359553
7ppb_S2,7,Ac TW 7ppb.xlsx,3.1288,-0.0833,0.50987665,2.826071248,8.950232147,-53.01960784,-0.168809852,22.71568627,724.7212611,2.054512,0.375109431,-0.448426978,2.302601995,114.9032247
7ppb_S3,7,Ac TW 7ppb.xlsx,2.8776,-0.0833,0.54240088,2.115198024,7.229818319,-51.24509804,-0.14108312,29.15686275,577.1818531,2.181176,0.269529428,-0.776962813,2.509953775,125.6764543
7ppb_S4,7,Ac TW 7ppb.xlsx,3.396,-0.0833,0.58198416,2.565807368,9.765355789,-60.65686275,-0.16099342,27.80392157,614.6674356,2.34244,0.440474403,-0.510507347,2.185014279,148.1874889
