sample_id,concentration_ppb,source_file,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.8590,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.8080,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.7570,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.5630,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.5120,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.4610,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.3180,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.2670,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.2160,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.0220,E_-0.0118,E_-0.0016
12ppb_S2,12,Ac TW 12ppb.xlsx,0.245,-0.259,-0.399,-0.175,0.651,-0.217,-0.973,6.734,12.36,17.44,21.72,25.46,27.94,24.14,20.83,18.54,16.69,14.64,13.19,12.3,11.11,9.996,9.516,8.797,7.808,7.581,7.346,6.771,6.459,6.48,6.209,5.889,5.703,5.485,5.155,5.169,5.066,4.79,4.805,4.874,4.846,4.908,4.946,4.966,4.959,5.11,5.216,5.302,5.394,5.592,5.749,5.797,5.992,6.247,6.291,6.359,6.449,6.45,6.355,6.44,6.584,6.534,6.538,6.87,7.05,7.043,7.556,7.853,7.899,8.144,8.356,8.256,8.039,8.176,8.008,7.67,7.834,7.899,7.803,7.944,8.223,8.204,8.34,8.729,8.792,8.802,9.208,9.473,9.525
12ppb_S3,12,Ac TW 12ppb.xlsx,-0.063,0.014,0.224,1.134,1.967,10.66,18.27,24.73,30.2,35.1,35.76,30.39,26.35,22.77,19.7,17.44,15.81,13.99,12.57,11.84,10.77,9.716,9.159,8.638,7.808,7.507,7.357,6.825,6.443,6.618,6.359,6.118,6.167,6.086,5.764,5.623,5.626,5.561,5.397,5.285,5.085,5.096,5.288,5.327,5.358,5.535,5.728,5.806,5.959,6.308,6.56,6.595,6.925,7.264,7.251,7.344,7.45,7.411,7.163,7.236,7.377,7.259,7.298,7.66,7.864,7.829,8.457,8.816,8.841,9.17,9.345,9.189,9.107,9.193,8.892,8.668,8.78,8.729,8.573,8.755,8.976,8.906,9.005,9.359,9.401,9.371,9.814,10.12,10.14
12ppb_S4,12,Ac TW 12ppb.xlsx,-0.126,0.147,-0.049,-0.196,-0.021,0.245,0.882,3.668,10.28,15.98,20.93,25.07,29.46,28.19,24.52,21.8,19.82,17.57,15.83,14.75,13.36,11.89,11.29,10.46,9.271,8.841,8.47,7.558,7.126,7.122,6.525,6.099,6.1,5.906,5.374,5.446,5.367,5.035,5.011,5.113,5.055,4.984,5.141,5.184,5.072,5.221,5.377,5.435,5.438,5.596,5.726,5.708,5.898,6.065,6.046,6.143,6.202,6.258,6.129,6.269,6.359,6.323,6.365,6.731,6.911,6.924,7.445,7.787,7.852,8.11,8.384,8.238,8.075,8.22,8.062,7.703,7.85,7.925,7.787,7.967,8.297,8.279,8.454,8.85,8.935,8.991,9.45,9.73,9.835
150ppb_S1,150,Ac TW 150ppb.xlsx,-0.252,0.091,4.452,11.59,17.55,22.67,27.24,30.95,28.57,24.13,20.27,17.07,14.47,12.36,10.49,9.212,8.197,7.287,6.797,6.678,6.461,6.405,6.769,7.014,7.042,7.308,7.493,7.325,7.171,7.145,6.902,6.674,6.623,6.421,6.03,6.142,6.194,5.901,5.96,6.127,6.075,5.983,6.307,6.485,6.367,6.808,7.342,7.361,7.558,8.21,8.486,8.587,9.186,9.844,10.05,10.7,11.94,12.77,13.71,15.58,16.11,17.84,20.5,24.0,26.99,29.51,33.53,35.99,37.03,37.83,36.98,33.94,30.98,28.1,24.2,20.67,18.41,16.03,13.91,12.81,11.97,10.98,10.57,10.55,10.26,10.08,10.45,10.63,10.6
150ppb_S2,150,Ac TW 150ppb.xlsx,-0.273,3.22,10.29,16.13,21.17,25.58,29.5,28.41,24.25,20.74,17.53,14.96,12.95,11.31,9.772,8.834,8.19,7.385,7.112,7.119,6.986,7.0,7.343,7.49,7.448,7.686,7.871,7.576,7.488,7.651,7.525,7.504,7.432,7.406,7.161,7.282,7.472,7.299,7.229,7.548,7.597,7.478,7.822,8.108,8.059,8.414,9.107,9.203,9.441,10.07,10.43,10.49,11.0,11.54,11.73,12.15,13.2,13.83,14.61,16.29,18.07,19.75,22.39,25.79,27.88,30.59,34.15,36.14,36.65,37.01,35.9,32.82,29.93,27.27,23.73,20.65,18.77,16.77,14.99,14.15,13.53,12.64,12.38,12.51,12.25,12.1,12.56,12.79,12.8
150ppb_S3,150,Ac TW 150ppb.xlsx,-0.462,6.727,12.68,17.85,22.29,26.35,29.18,25.21,21.86,19.16,16.75,14.73,13.44,12.3,11.38,11.14,11.24,11.34,11.96,13.07,13.98,14.64,15.61,15.84,15.39,15.03,14.49,13.39,12.51,11.92,11.1,10.24,9.789,9.303,8.687,8.312,8.074,7.64,7.269,7.353,7.213,7.017,7.203,7.416,7.294,7.539,7.987,8.046,8.176,8.634,8.837,8.946,9.352,9.919,10.13,10.61,11.6,12.42,13.28,15.03,16.93,18.72,21.37,24.68,27.38,30.1,33.57,35.36,35.7,35.86,34.62,31.57,28.83,26.31,22.9,19.94,18.08,16.03,14.12,13.15,12.39,11.39,10.97,10.95,10.65,10.42,10.77,10.94,10.89
150ppb_S4,150,Ac TW 150ppb.xlsx,-0.161,0.154,4.123,11.08,17.05,22.15,26.54,30.3,28.38,24.11,20.36,17.22,14.85,12.72,10.96,9.667,8.708,7.854,7.308,7.182,6.944,6.867,7.189,7.371,7.343,7.56,7.791,7.7,7.532,7.628,7.38,7.241,7.297,7.184,7.147,7.027,7.079,6.85,6.9,7.151,7.118,7.047,7.358,7.567,7.462,7.862,8.438,8.53,8.706,9.361,9.69,9.719,10.34,11.06,11.25,11.85,13.13,12.98,13.74,15.31,16.92,18.49,20.92,24.12,26.83,29.07,32.78,35.17,36.26,37.27,36.75,34.14,31.52,28.93,25.21,21.82,19.6,17.23,15.06,13.95,13.07,12.04,11.57,11.57,11.23,11.0,11.36,11.54,11.49
15ppb_S1,15,Ac TW 15ppb.xlsx,-0.028,0.721,-0.378,-0.406,2.345,7.175,11.3,14.67,17.69,20.41,19.42,16.33,14.03,12.06,10.38,9.268,8.484,7.637,7.245,7.28,7.14,7.154,7.567,7.791,7.896,8.172,8.505,8.368,8.274,8.452,8.207,7.892,7.927,7.759,7.381,7.378,7.336,7.059,6.895,7.038,6.954,6.972,6.884,7.01,6.821,6.965,7.367,7.448,7.602,8.19,8.508,8.529,8.949,9.198,9.005,8.995,9.166,8.96,8.725,8.9,8.949,8.802,9.054,9.471,9.558,9.831,10.55,10.86,10.91,11.3,11.44,11.01,10.88,10.89,10.43,10.09,10.29,10.19,10.0,10.29,10.59,10.45,10.63,10.79,11.05,11.05,11.54,11.81,11.78
15ppb_S2,15,Ac TW 15ppb.xlsx,-0.021,0.609,-0.357,3.199,7.917,11.93,15.45,18.37,20.72,19.65,16.65,14.22,12.37,10.72,9.387,8.575,7.938,7.238,6.965,7.091,6.986,6.916,7.329,7.56,7.595,7.875,8.011,7.812,7.616,7.758,7.577,7.385,7.422,7.28,6.989,6.979,6.842,6.753,6.646,6.862,6.769,6.631,6.837,6.974,6.863,7.124,7.639,7.859,8.116,8.79,9.207,9.301,9.683,9.985,9.772,9.665,9.826,9.592,9.35,9.518,9.543,9.404,9.663,10.05,10.19,10.47,11.12,11.3,11.29,11.55,11.53,11.03,10.78,10.72,10.24,9.9,10.02,9.95,9.763,9.992,10.23,10.08,10.21,10.56,10.53,10.5,10.9,11.12,11.11
15ppb_S3,15,Ac TW 15ppb.xlsx,0.196,-0.266,-0.42,-0.385,0.322,2.261,7.035,10.72,13.96,16.69,19.02,18.35,15.57,13.28,11.34,10.03,8.974,8.001,7.462,7.385,7.119,7.021,7.329,7.602,7.63,7.976,8.312,8.239,8.069,8.284,8.113,7.801,7.838,7.77,7.381,7.292,7.39,7.024,6.82,6.953,6.835,6.636,6.772,6.874,6.646,6.799,7.201,7.262,7.381,7.927,8.277,8.332,8.729,9.021,8.832,8.837,9.042,8.823,8.563,8.745,8.78,8.594,8.857,9.221,9.194,9.474,10.15,10.45,10.53,10.92,11.1,10.71,10.59,10.63,10.15,9.805,9.914,9.817,9.593,9.826,10.1,9.935,10.12,10.51,10.5,10.46,10.92,11.14,11.12
