concentration_ppb,V_-0.0016,V_-0.0118,V_-0.0220,V_-0.0322,V_-0.0424,V_-0.0526,V_-0.0629,V_-0.0731,V_-0.0833,V_-0.0935,V_-0.1037,V_-0.1139,V_-0.1241,V_-0.1343,V_-0.1445,V_-0.1547,V_-0.1649,V_-0.1751,V_-0.1853,V_-0.1956,V_-0.2058,V_-0.2160,V_-0.2262,V_-0.2364,V_-0.2466,V_-0.2568,V_-0.2670,V_-0.2772,V_-0.2874,V_-0.2976,V_-0.3078,V_-0.3180,V_-0.3283,V_-0.3385,V_-0.3487,V_-0.3589,V_-0.3691,V_-0.3793,V_-0.3895,V_-0.3997,V_-0.4099,V_-0.4201,V_-0.4303,V_-0.4405,V_-0.4507,V_-0.4610,V_-0.4712,V_-0.4814,V_-0.4916,V_-0.5018,V_-0.5120,V_-0.5222,V_-0.5324,V_-0.5426,V_-0.5528,V_-0.5630,V_-0.5732,V_-0.5834,V_-0.5937,V_-0.6039,V_-0.6141,V_-0.6243,V_-0.6345,V_-0.6447,V_-0.6549,V_-0.6651,V_-0.6753,V_-0.6855,V_-0.6957,V_-0.7059,V_-0.7161,V_-0.7263,V_-0.7366,V_-0.7468,V_-0.7570,V_-0.7672,V_-0.7774,V_-0.7876,V_-0.7978,V_-0.8080,V_-0.8182,V_-0.8284,V_-0.8386,V_-0.8488,V_-0.8590,V_-0.8693,V_-0.8795,V_-0.8897,V_-0.8999,dataset
0.0,3.976,3.782,3.584,3.112,3.313,2.934,2.546,2.511,2.35,2.071,1.902,1.776,1.509,1.251,1.357,1.231,1.073,1.252,1.271,1.105,1.006,1.122,1.093,0.983,0.893,0.823,0.803,0.748,0.747,0.747,0.75,0.834,0.939,0.899,0.866,0.915,0.774,0.741,0.668,0.539,0.428,0.315,0.237,0.117,0,-0.06,-0.155,-0.233,-0.309,-0.321,-0.401,-0.502,-0.496,-0.511,-0.481,-0.173,-0.107,-0.121,-0.068,-0.138,-0.086,-0.166,0.051,0.208,0.17,0.569,0.772,0.842,1.269,1.752,1.948,2.669,3.516,4.384,5.3,6.85,8.67,10.65,13.43,16.84,15.76,13.04,9.79,5.95,1.479,-3.764,-4.765,-4.044,-4.926,lab
0.0,5.021,5.211,4.711,4.471,4.601,4.271,3.977,3.755,3.837,3.317,3.057,3.153,2.952,2.644,2.638,2.752,2.754,2.775,2.754,2.838,2.525,2.671,2.454,2.232,2.424,2.454,2.456,2.434,2.512,2.594,2.686,2.743,2.654,2.574,2.611,2.557,2.029,1.688,1.585,1.182,0.742,0.537,0.589,0.215,0,-0.069,-0.033,-0.029,0.02,-0.034,-0.211,-0.165,-0.116,-0.249,-0.361,-0.316,-0.281,-0.333,-0.333,-0.349,-0.34,-0.389,-0.267,-0.186,-0.151,0.115,0.248,0.437,0.486,0.99,1.011,1.48,2.215,2.915,3.636,4.941,6.431,8.001,10.141,12.831,15.651,19.131,23.321,20.791,17.071,12.871,7.861,1.893,-5.121,lab
0.0,5.267,5.187,4.877,4.47,4.223,4.404,3.739,3.551,3.476,3.263,2.718,2.701,2.447,2.019,2.137,2.064,2.0,1.893,1.906,1.695,1.568,1.602,1.595,1.419,1.271,1.207,1.026,1.041,1.191,1.128,1.008,1.2,1.339,1.028,1.184,1.185,0.926,0.872,0.779,0.578,0.371,0.172,0.378,0.032,0,-0.103,-0.202,-0.241,-0.062,0.152,0.041,-0.082,-0.042,-0.041,-0.087,0.048,0.331,0.38,0.527,0.59,0.408,0.643,1.129,1.108,1.035,1.605,2.281,2.428,3.079,3.422,3.744,4.619,5.217,6.597,7.557,9.137,11.427,13.727,16.887,15.297,12.377,9.187,5.337,0.797,-4.593,-5.342,-4.558,-5.468,-4.901,lab
0.0,4.321,4.36,4.123,3.868,3.717,3.439,3.247,3.136,2.716,2.421,2.067,2.152,1.906,1.615,1.645,1.715,1.664,1.633,1.662,1.505,1.402,1.471,1.338,1.283,1.175,1.147,0.987,1.001,1.129,1.064,1.115,1.183,1.238,1.129,1.072,1.063,0.93,0.752,0.777,0.584,0.441,0.343,0.258,0.209,0,0.011,-0.119,-0.266,-0.153,0.251,-0.087,0.198,0.27,0.352,0.203,0.525,0.77,0.616,1.015,0.847,0.907,1.309,1.652,1.61,2.034,2.38,3.441,3.091,4.344,4.568,5.336,6.286,7.636,8.896,10.376,12.936,15.476,16.696,13.946,10.986,7.366,3.217,-1.48,-5.26,-4.028,-5.001,-4.371,-5.078,-4.322,lab
100.0,4.508,4.498,4.228,3.798,3.928,4.068,3.878,4.068,4.688,5.018,5.568,6.888,8.298,9.598,11.978,14.648,16.548,18.718,20.928,21.478,20.898,20.218,18.408,15.848,13.678,11.558,9.218,7.488,6.498,5.408,4.408,4.078,3.708,3.07,2.825,2.823,2.366,1.932,1.882,1.588,0.961,0.916,0.734,0.195,0,0.072,-0.161,-0.39,-0.215,-0.161,-0.423,-0.227,-0.047,-0.134,-0.061,0.203,0.3,0.307,0.644,0.833,0.58,0.861,1.022,0.718,0.536,0.494,0.144,-0.136,-0.066,0.137,0.256,0.718,1.677,2.573,3.978,5.768,7.998,10.618,13.888,17.888,18.068,14.888,11.118,6.718,1.502,-4.644,-7.01,-6.051,-6.646,lab
100.0,4.232,4.262,4.062,3.652,3.802,3.992,3.832,4.072,4.712,5.092,5.662,6.982,8.362,9.642,11.892,14.402,16.192,18.252,20.372,21.032,20.592,20.132,18.552,16.392,14.462,12.472,10.112,8.422,7.352,6.092,4.922,4.452,4.022,3.192,2.932,2.752,2.293,1.883,1.827,1.502,0.975,0.867,0.753,0.193,0,0.041,-0.196,-0.439,-0.252,-0.257,-0.273,-0.385,-0.201,-0.39,-0.35,-0.091,-0.124,-0.246,-0.019,0.216,0.037,0.237,0.494,0.273,0.056,0.207,-0.059,-0.43,-0.43,-0.381,-0.465,-0.164,0.389,1.04,1.796,3.102,4.502,6.062,8.342,11.002,14.012,17.592,21.562,17.532,13.662,9.242,4.122,-2.012,-7.955,lab
100.0,3.915,3.925,3.741,3.405,3.545,3.71,3.57,3.801,4.375,4.735,5.295,6.535,7.865,9.135,11.335,13.765,15.505,17.475,19.385,19.835,19.245,18.575,17.355,14.485,12.565,10.635,8.515,7.005,6.055,5.085,4.155,3.865,3.556,2.949,2.8,2.704,2.313,1.925,1.832,1.585,1.004,0.845,0.705,0.196,0,0.051,-0.205,-0.357,-0.261,-0.236,-0.415,-0.303,-0.11,-0.235,-0.2,0.035,0.073,0.023,0.252,0.413,0.276,0.535,0.672,0.42,0.294,0.28,0.077,-0.182,-0.098,0.021,0.154,0.644,1.477,2.373,3.528,5.255,7.215,9.585,12.495,16.085,20.115,19.155,15.705,11.645,6.915,1.288,-5.152,-5.425,-6.258,lab
100.0,6.77,6.81,6.5,5.96,6.1,6.24,5.89,6.06,6.72,6.98,7.47,8.83,10.2,11.33,13.53,15.81,17.18,18.64,20.12,20.04,18.98,18.13,16.53,13.99,12.8,11.25,9.22,7.82,7.12,6.18,5.2,4.86,4.56,3.68,3.34,3.25,2.65,2.12,2.02,1.65,1.01,0.94,0.78,0.24,0,0.23,-0.08,-0.383,-0.16,-0.2,-0.614,-0.527,-0.682,-0.739,-0.849,-0.667,-0.833,-1.157,-0.975,-0.917,-0.999,-1.122,-0.984,-1.171,-1.293,-1.036,-1.099,-1.124,-1.225,-1.134,-1.456,-1.33,-0.833,-0.7,-0.392,0.44,1.21,1.87,3.07,4.58,5.87,7.81,10.11,11.84,8.97,6.06,2.66,-1.372,-5.53,lab
10.0,4.901,4.941,4.691,4.211,4.251,3.961,3.751,3.611,3.691,3.331,3.038,3.195,3.157,2.922,3.202,3.521,3.441,3.521,3.871,3.731,3.401,3.401,3.195,2.583,2.474,2.478,2.142,1.963,2.191,2.156,2.023,2.299,2.499,2.292,2.348,2.467,2.117,1.774,1.655,1.302,0.77,0.595,0.518,0.115,0,0.21,0.077,-0.032,0.178,0.28,0.105,0.364,0.598,0.56,0.64,0.98,1.078,1.085,1.396,1.543,1.295,1.365,1.494,1.064,0.784,0.756,0.504,0.168,0.238,0.434,0.567,0.994,1.995,2.933,4.201,6.051,8.341,10.811,11.841,9.561,6.841,3.801,0.0,-4.375,-7.133,-6.538,-7.203,-7.336,-5.782,lab
10.0,4.296,4.296,4.016,3.586,3.626,3.636,3.256,3.107,3.226,2.916,2.669,2.785,2.774,2.552,2.793,3.147,3.117,3.226,3.636,3.616,3.346,3.416,3.266,2.687,2.613,2.538,2.272,2.064,2.319,2.354,2.233,2.597,2.865,2.713,2.82,3.068,2.727,2.361,2.191,1.812,1.157,0.907,0.688,0.2,0,0.13,-0.07,-0.206,-0.05,0.06,-0.192,0.065,0.268,0.252,0.305,0.601,0.643,0.581,0.924,1.117,0.947,1.197,1.432,1.155,0.935,0.844,0.641,0.151,0.172,0.151,0.123,0.326,1.012,1.565,2.517,3.836,5.386,7.226,9.746,12.796,16.166,14.636,11.796,8.266,4.136,-0.598,-6.429,-7.241,-7.052,lab
