concentration_ppb,E_-0.8999,E_-0.8897,E_-0.8795,E_-0.8693,E_-0.8590,E_-0.8488,E_-0.8386,E_-0.8284,E_-0.8182,E_-0.8080,E_-0.7978,E_-0.7876,E_-0.7774,E_-0.7672,E_-0.7570,E_-0.7468,E_-0.7366,E_-0.7263,E_-0.7161,E_-0.7059,E_-0.6957,E_-0.6855,E_-0.6753,E_-0.6651,E_-0.6549,E_-0.6447,E_-0.6345,E_-0.6243,E_-0.6141,E_-0.6039,E_-0.5937,E_-0.5834,E_-0.5732,E_-0.5630,E_-0.5528,E_-0.5426,E_-0.5324,E_-0.5222,E_-0.5120,E_-0.5018,E_-0.4916,E_-0.4814,E_-0.4712,E_-0.4610,E_-0.4507,E_-0.4405,E_-0.4303,E_-0.4201,E_-0.4099,E_-0.3997,E_-0.3895,E_-0.3793,E_-0.3691,E_-0.3589,E_-0.3487,E_-0.3385,E_-0.3283,E_-0.3180,E_-0.3078,E_-0.2976,E_-0.2874,E_-0.2772,E_-0.2670,E_-0.2568,E_-0.2466,E_-0.2364,E_-0.2262,E_-0.2160,E_-0.2058,E_-0.1956,E_-0.1853,E_-0.1751,E_-0.1649,E_-0.1547,E_-0.1445,E_-0.1343,E_-0.1241,E_-0.1139,E_-0.1037,E_-0.0935,E_-0.0833,E_-0.0731,E_-0.0629,E_-0.0526,E_-0.0424,E_-0.0322,E_-0.0220,E_-0.0118,E_-0.0016
0,-4.926,-4.044,-4.765,-3.764,1.479,5.95,9.79,13.04,15.76,16.84,13.43,10.65,8.67,6.85,5.3,4.384,3.516,2.669,1.948,1.752,1.269,0.842,0.772,0.569,0.17,0.208,0.051,-0.166,-0.086,-0.138,-0.068,-0.121,-0.107,-0.173,-0.481,-0.511,-0.496,-0.502,-0.401,-0.321,-0.309,-0.233,-0.155,-0.06,0,0.117,0.237,0.315,0.428,0.539,0.668,0.741,0.774,0.915,0.866,0.899,0.939,0.834,0.75,0.747,0.747,0.748,0.803,0.823,0.893,0.983,1.093,1.122,1.006,1.105,1.271,1.252,1.073,1.231,1.357,1.251,1.509,1.776,1.902,2.071,2.35,2.511,2.546,2.934,3.313,3.112,3.584,3.782,3.976
0,-5.121,1.893,7.861,12.871,17.071,20.791,23.321,19.131,15.651,12.831,10.141,8.001,6.431,4.941,3.636,2.915,2.215,1.48,1.011,0.99,0.486,0.437,0.248,0.115,-0.151,-0.186,-0.267,-0.389,-0.34,-0.349,-0.333,-0.333,-0.281,-0.316,-0.361,-0.249,-0.116,-0.165,-0.211,-0.034,0.02,-0.029,-0.033,-0.069,0,0.215,0.589,0.537,0.742,1.182,1.585,1.688,2.029,2.557,2.611,2.574,2.654,2.743,2.686,2.594,2.512,2.434,2.456,2.454,2.424,2.232,2.454,2.671,2.525,2.838,2.754,2.775,2.754,2.752,2.638,2.644,2.952,3.153,3.057,3.317,3.837,3.755,3.977,4.271,4.601,4.471,4.711,5.211,5.021
0,-4.901,-5.468,-4.558,-5.342,-4.593,0.797,5.337,9.187,12.377,15.297,16.887,13.727,11.427,9.137,7.557,6.597,5.217,4.619,3.744,3.422,3.079,2.428,2.281,1.605,1.035,1.108,1.129,0.643,0.408,0.59,0.527,0.38,0.331,0.048,-0.087,-0.041,-0.042,-0.082,0.041,0.152,-0.062,-0.241,-0.202,-0.103,0,0.032,0.378,0.172,0.371,0.578,0.779,0.872,0.926,1.185,1.184,1.028,1.339,1.2,1.008,1.128,1.191,1.041,1.026,1.207,1.271,1.419,1.595,1.602,1.568,1.695,1.906,1.893,2,2.064,2.137,2.019,2.447,2.701,2.718,3.263,3.476,3.551,3.739,4.404,4.223,4.47,4.877,5.187,5.267
0,-4.322,-5.078,-4.371,-5.001,-4.028,-5.26,-1.48,3.217,7.366,10.986,13.946,16.696,15.476,12.936,10.376,8.896,7.636,6.286,5.336,4.568,4.344,3.091,3.441,2.38,2.034,1.61,1.652,1.309,0.907,0.847,1.015,0.616,0.77,0.525,0.203,0.352,0.27,0.198,-0.087,0.251,-0.153,-0.266,-0.119,0.011,0,0.209,0.258,0.343,0.441,0.584,0.777,0.752,0.93,1.063,1.072,1.129,1.238,1.183,1.115,1.064,1.129,1.001,0.987,1.147,1.175,1.283,1.338,1.471,1.402,1.505,1.662,1.633,1.664,1.715,1.645,1.615,1.906,2.152,2.067,2.421,2.716,3.136,3.247,3.439,3.717,3.868,4.123,4.36,4.321
100,-6.646,-6.051,-7.01,-4.644,1.502,6.718,11.118,14.888,18.068,17.888,13.888,10.618,7.998,5.768,3.978,2.573,1.677,0.718,0.256,0.137,-0.066,-0.136,0.144,0.494,0.536,0.718,1.022,0.861,0.58,0.833,0.644,0.307,0.3,0.203,-0.061,-0.134,-0.047,-0.227,-0.423,-0.161,-0.215,-0.39,-0.161,0.072,0,0.195,0.734,0.916,0.961,1.588,1.882,1.932,2.366,2.823,2.825,3.07,3.708,4.078,4.408,5.408,6.498,7.488,9.218,11.558,13.678,15.848,18.408,20.218,20.898,21.478,20.928,18.718,16.548,14.648,11.978,9.598,8.298,6.888,5.568,5.018,4.688,4.068,3.878,4.068,3.928,3.798,4.228,4.498,4.508
100,-7.955,-2.012,4.122,9.242,13.662,17.532,21.562,17.592,14.012,11.002,8.342,6.062,4.502,3.102,1.796,1.04,0.389,-0.164,-0.465,-0.381,-0.43,-0.43,-0.059,0.207,0.056,0.273,0.494,0.237,0.037,0.216,-0.019,-0.246,-0.124,-0.091,-0.35,-0.39,-0.201,-0.385,-0.273,-0.257,-0.252,-0.439,-0.196,0.041,0,0.193,0.753,0.867,0.975,1.502,1.827,1.883,2.293,2.752,2.932,3.192,4.022,4.452,4.922,6.092,7.352,8.422,10.112,12.472,14.462,16.392,18.552,20.132,20.592,21.032,20.372,18.252,16.192,14.402,11.892,9.642,8.362,6.982,5.662,5.092,4.712,4.072,3.832,3.992,3.802,3.652,4.062,4.262,4.232
100,-6.258,-5.425,-5.152,1.288,6.915,11.645,15.705,19.155,20.115,16.085,12.495,9.585,7.215,5.255,3.528,2.373,1.477,0.644,0.154,0.021,-0.098,-0.182,0.077,0.28,0.294,0.42,0.672,0.535,0.276,0.413,0.252,0.023,0.073,0.035,-0.2,-0.235,-0.11,-0.303,-0.415,-0.236,-0.261,-0.357,-0.205,0.051,0,0.196,0.705,0.845,1.004,1.585,1.832,1.925,2.313,2.704,2.8,2.949,3.556,3.865,4.155,5.085,6.055,7.005,8.515,10.635,12.565,14.485,17.355,18.575,19.245,19.835,19.385,17.475,15.505,13.765,11.335,9.135,7.865,6.535,5.295,4.735,4.375,3.801,3.57,3.71,3.545,3.405,3.741,3.925,3.915
100,-5.53,-1.372,2.66,6.06,8.97,11.84,10.11,7.81,5.87,4.58,3.07,1.87,1.21,0.44,-0.392,-0.7,-0.833,-1.33,-1.456,-1.134,-1.225,-1.124,-1.099,-1.036,-1.293,-1.171,-0.984,-1.122,-0.999,-0.917,-0.975,-1.157,-0.833,-0.667,-0.849,-0.739,-0.682,-0.527,-0.614,-0.2,-0.16,-0.383,-0.08,0.23,0,0.24,0.78,0.94,1.01,1.65,2.02,2.12,2.65,3.25,3.34,3.68,4.56,4.86,5.2,6.18,7.12,7.82,9.22,11.25,12.8,13.99,16.53,18.13,18.98,20.04,20.12,18.64,17.18,15.81,13.53,11.33,10.2,8.83,7.47,6.98,6.72,6.06,5.89,6.24,6.1,5.96,6.5,6.81,6.77
10,-5.782,-7.336,-7.203,-6.538,-7.133,-4.375,0,3.801,6.841,9.561,11.841,10.811,8.341,6.051,4.201,2.933,1.995,0.994,0.567,0.434,0.238,0.168,0.504,0.756,0.784,1.064,1.494,1.365,1.295,1.543,1.396,1.085,1.078,0.98,0.64,0.56,0.598,0.364,0.105,0.28,0.178,-0.032,0.077,0.21,0,0.115,0.518,0.595,0.77,1.302,1.655,1.774,2.117,2.467,2.348,2.292,2.499,2.299,2.023,2.156,2.191,1.963,2.142,2.478,2.474,2.583,3.195,3.401,3.401,3.731,3.871,3.521,3.441,3.521,3.202,2.922,3.157,3.195,3.038,3.331,3.691,3.611,3.751,3.961,4.251,4.211,4.691,4.941,4.901
10,-7.052,-7.241,-6.429,-0.598,4.136,8.266,11.796,14.636,16.166,12.796,9.746,7.226,5.386,3.836,2.517,1.565,1.012,0.326,0.123,0.151,0.172,0.151,0.641,0.844,0.935,1.155,1.432,1.197,0.947,1.117,0.924,0.581,0.643,0.601,0.305,0.252,0.268,0.065,-0.192,0.06,-0.05,-0.206,-0.07,0.13,0,0.2,0.688,0.907,1.157,1.812,2.191,2.361,2.727,3.068,2.82,2.713,2.865,2.597,2.233,2.354,2.319,2.064,2.272,2.538,2.613,2.687,3.266,3.416,3.346,3.616,3.636,3.226,3.117,3.147,2.793,2.552,2.774,2.785,2.669,2.916,3.226,3.107,3.256,3.636,3.626,3.586,4.016,4.296,4.296
10,-7.752,-7.36,-6.408,-0.836,3.642,7.512,10.892,13.792,14.812,11.662,8.812,6.532,4.792,3.372,2.118,1.348,0.851,0.193,-0.073,0.102,-0.031,-0.038,0.389,0.55,0.529,0.812,1.092,0.914,0.784,0.998,0.821,0.531,0.634,0.422,0.261,0.261,0.392,0.14,-0.047,0.174,0.076,-0.143,0,0.217,0,0.168,0.688,0.826,0.963,1.568,1.915,1.903,2.211,2.559,2.305,2.183,2.492,2.244,1.98,2.179,2.214,2.004,2.23,2.642,2.652,2.772,3.412,3.552,3.522,3.822,3.912,3.532,3.462,3.632,3.342,3.092,3.412,3.492,3.342,3.702,4.052,3.952,4.072,4.262,4.542,4.482,5.012,5.312,5.262
